Description,Class
Heating Fuel Purchase -,Heating
Power Quality Audit Service,Other
Natural Gas Supply -in Asia Pacific,Heating
General Waste Collection -for Basel Site,Waste Disposal
KWh Consumption -for R&D Center,Electricity
Electricity Meter Reading -- Global HQ,Electricity
Chemical Waste Disposal -in Global HQ,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Water Consumption -in Year-End,Water
Fuel Oil Delivery -- Basel Site,Heating
General Waste Collection -for Q3 Period,Waste Disposal
Natural Gas Supply -in Q3 Period,Heating
Non-Hazardous Waste Disposal -,Waste Disposal
Heating Expense -for Global HQ,Heating
Natural Gas Supply -for European Operations,Heating
Boiler System Repair,Other
Transformer Upgrade Project,Other
KWh Consumption -- European Operations,Electricity
Energy Supply Charge -,Electricity
Non-Hazardous Waste Disposal -- European Operations,Waste Disposal
Chemical Waste Disposal -in South America,Waste Disposal
Drainage System Maintenance,Other
Water Utility Bill -- Distribution Center,Water
Electricity Supply -in South America,Electricity
Water Supply -in Manufacturing Plant,Water
KWh Consumption -,Electricity
Water Consumption -,Water
Heating Fuel Purchase -,Heating
Natural Gas Line Inspection Fee,Other
Water Consumption -,Water
Monthly Power Usage -in Q3 Period,Electricity
Monthly Water Usage -for European Operations,Water
Natural Gas Supply -for North America,Heating
Monthly Water Usage -- Year-End,Water
Water Consumption -for Basel Site,Water
Chemical Waste Disposal -for R&D Center,Waste Disposal
Electricity Supply -for Manufacturing Plant,Electricity
Power Consumption -- Year-End,Electricity
Monthly Water Usage -- Manufacturing Plant,Water
Utility Meter Calibration,Other
Chemical Waste Disposal -in Distribution Center,Waste Disposal
Monthly Power Usage -- South America,Electricity
Winter Heating Usage -- Global HQ,Heating
Water Utility Bill -- Basel Site,Water
Water Utility Bill -- North America,Water
Employee Salaries - Month End,Other
Cooling Tower Water Treatment Chemicals,Other
Hazardous Waste Disposal -in European Operations,Waste Disposal
Electricity Meter Reading -in Q3 Period,Electricity
Gas Utility Bill -for R&D Center,Heating
Water Consumption -,Water
Municipal Water Charge -for R&D Center,Water
Power Consumption -- Global HQ,Electricity
Hazardous Waste Disposal -in Year-End,Waste Disposal
Heat Exchanger Cleaning,Other
Solid Waste Management Fee -for Global HQ,Waste Disposal
Raw Water Intake -- North America,Water
Medical Waste Collection -in South America,Waste Disposal
Medical Waste Collection -in Distribution Center,Waste Disposal
Water Consumption -in South America,Water
Potable Water Supply -in Global HQ,Water
Bulk Water Purchase -- Manufacturing Plant,Water
Gas Utility Bill -,Heating
Solid Waste Management Fee -- R&D Center,Waste Disposal
Gas Utility Bill -for Manufacturing Plant,Heating
Employee Salaries - Month End,Other
Water Supply -- Monthey Facility,Water
Water Utility Bill -for Q3 Period,Water
Water Utility Bill -for Asia Pacific,Water
Grid Power Purchase -,Electricity
Utility Meter Calibration,Other
Electricity Supply -for Monthey Facility,Electricity
Municipal Water Charge -- R&D Center,Water
Heating Fuel Purchase -for South America,Heating
Steam Generation Gas -- Manufacturing Plant,Heating
Heating Fuel Purchase -,Heating
Municipal Water Charge -in Year-End,Water
Industrial Waste Pickup -- Basel Site,Waste Disposal
Water Consumption -for European Operations,Water
Water Utility Bill -- Basel Site,Water
Bulk Water Purchase -in R&D Center,Water
Medical Waste Collection -,Waste Disposal
Water Supply -for Monthey Facility,Water
Non-Hazardous Waste Disposal -in Global HQ,Waste Disposal
Recycling Services -,Waste Disposal
Energy Supply Charge -for Distribution Center,Electricity
Bulk Water Purchase -for European Operations,Water
Gas Utility Bill -- European Operations,Heating
Electric Utility Bill -for North America,Electricity
Water Supply -,Water
Marketing Campaign - Digital Ads,Other
Chemical Waste Disposal -in North America,Waste Disposal
Monthly Water Usage -in Monthey Facility,Water
Power Consumption -- R&D Center,Electricity
Raw Water Intake -in Year-End,Water
KWh Consumption -for North America,Electricity
Water Consumption -,Water
Energy Supply Charge -,Electricity
Heating Expense -for Asia Pacific,Heating
KWh Consumption -in South America,Electricity
Municipal Water Charge -for Asia Pacific,Water
Industrial Waste Pickup -in European Operations,Waste Disposal
Winter Heating Usage -,Heating
Bulk Water Purchase -for Year-End,Water
Winter Heating Usage -- Q3 Period,Heating
Medical Waste Collection -,Waste Disposal
Power Consumption -in Year-End,Electricity
Water Supply -,Water
Potable Water Supply -- Asia Pacific,Water
Power Consumption -in Asia Pacific,Electricity
Gas Utility Bill -,Heating
Chemical Waste Disposal -,Waste Disposal
Propane Supply -,Heating
Electrical System Maintenance Contract,Other
Recycling Services -,Waste Disposal
Fungicide Product Sales - North America,Other
Gas Utility Bill -for Asia Pacific,Heating
Natural Gas Supply -- Monthey Facility,Heating
Bulk Water Purchase -for Monthey Facility,Water
Natural Gas Supply -for R&D Center,Heating
Electrical System Maintenance Contract,Other
Recycling Services -- R&D Center,Waste Disposal
Temperature Control System Upgrade,Other
Fuel Oil Delivery -- Manufacturing Plant,Heating
Hazardous Waste Disposal -,Waste Disposal
Electricity Supply -- North America,Electricity
Fuel Oil Delivery -- Distribution Center,Heating
Non-Hazardous Waste Disposal -,Waste Disposal
Energy Supply Charge -in Global HQ,Electricity
Hazardous Waste Disposal -,Waste Disposal
Monthly Water Usage -,Water
Natural Gas Supply -for Q3 Period,Heating
Energy Supply Charge -- Q3 Period,Electricity
Gas Utility Bill -,Heating
Propane Supply -,Heating
Grid Infrastructure Consulting Fee,Other
Potable Water Supply -in Asia Pacific,Water
Gas Utility Bill -,Heating
Monthly Water Usage -- North America,Water
Monthly Water Usage -,Water
Electrical System Maintenance Contract,Other
Potable Water Supply -,Water
Heating Expense -- Asia Pacific,Heating
Solar Panel Installation Cost,Other
Potable Water Supply -- South America,Water
Non-Hazardous Waste Disposal -- Q3 Period,Waste Disposal
Heating Expense -,Heating
Heating Fuel Purchase -for Basel Site,Heating
Heating Fuel Purchase -,Heating
Electric Utility Bill -,Electricity
Potable Water Supply -for R&D Center,Water
Seeds Product Sales - Latin America,Other
Winter Heating Usage -,Heating
Monthly Water Usage -,Water
Solid Waste Management Fee -,Waste Disposal
Heating Fuel Purchase -,Heating
Medical Waste Collection -in Monthey Facility,Waste Disposal
Gas Utility Bill -,Heating
Electricity Meter Reading -in South America,Electricity
Solid Waste Management Fee -,Waste Disposal
General Waste Collection -for Q3 Period,Waste Disposal
Municipal Water Charge -,Water
Electricity Supply -in R&D Center,Electricity
Recycling Services -- Manufacturing Plant,Waste Disposal
Electric Utility Bill -in Asia Pacific,Electricity
Monthly Water Usage -- Manufacturing Plant,Water
Solid Waste Management Fee -,Waste Disposal
Herbicide Product Sales - Europe Region,Other
Fuel Oil Delivery -for Asia Pacific,Heating
Recycling Services -,Waste Disposal
Municipal Water Charge -for Monthey Facility,Water
Non-Hazardous Waste Disposal -for Year-End,Waste Disposal
Electric Utility Bill -in Global HQ,Electricity
Propane Supply -in Q3 Period,Heating
Heating Expense -- Monthey Facility,Heating
Winter Heating Usage -,Heating
Monthly Power Usage -- Monthey Facility,Electricity
Water Supply -in Basel Site,Water
Electricity Supply -for Year-End,Electricity
Fuel Oil Delivery -for South America,Heating
Recycling Services -,Waste Disposal
Heating Expense -in Asia Pacific,Heating
General Waste Collection -,Waste Disposal
Power Consumption -,Electricity
Heating Fuel Purchase -for Asia Pacific,Heating
Bulk Water Purchase -,Water
Medical Waste Collection -- Manufacturing Plant,Waste Disposal
Gas Utility Bill -,Heating
Monthly Power Usage -in Distribution Center,Electricity
KWh Consumption -,Electricity
Electricity Meter Reading -in Basel Site,Electricity
Industrial Waste Pickup -in R&D Center,Waste Disposal
Marketing Campaign - Digital Ads,Other
Electric Utility Bill -for Basel Site,Electricity
Potable Water Supply -- Monthey Facility,Water
Water Utility Bill -in Basel Site,Water
Fuel Oil Delivery -in Global HQ,Heating
Industrial Waste Pickup -- South America,Waste Disposal
Power Consumption -for Monthey Facility,Electricity
Legal Fees - Patent Litigation,Other
Grid Power Purchase -for Manufacturing Plant,Electricity
Raw Water Intake -in Basel Site,Water
Water Supply -in Q3 Period,Water
Raw Water Intake -for Basel Site,Water
Raw Water Intake -for European Operations,Water
Industrial Waste Pickup -,Waste Disposal
Electricity Meter Reading -in Distribution Center,Electricity
General Waste Collection -- R&D Center,Waste Disposal
Hazardous Waste Disposal -for European Operations,Waste Disposal
Water Consumption -in Basel Site,Water
Water Supply -- Distribution Center,Water
Heating Fuel Purchase -in South America,Heating
Non-Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
Water Supply -for European Operations,Water
General Waste Collection -in South America,Waste Disposal
Seeds Product Sales - Latin America,Other
Propane Supply -in Year-End,Heating
Insulation Material Purchase,Other
Medical Waste Collection -for Year-End,Waste Disposal
Propane Supply -in Manufacturing Plant,Heating
Winter Heating Usage -- R&D Center,Heating
Electricity Meter Reading -in Manufacturing Plant,Electricity
Bulk Water Purchase -- Manufacturing Plant,Water
Industrial Waste Pickup -- European Operations,Waste Disposal
Potable Water Supply -- Year-End,Water
Potable Water Supply -- Q3 Period,Water
Non-Hazardous Waste Disposal -- R&D Center,Waste Disposal
Electricity Supply -in South America,Electricity
Water Utility Bill -- Global HQ,Water
Recycling Services -in Manufacturing Plant,Waste Disposal
Fuel Oil Delivery -in Basel Site,Heating
Bulk Water Purchase -in South America,Water
Electric Utility Bill -- R&D Center,Electricity
Landfill Site Permit Renewal,Other
Water Consumption -for Asia Pacific,Water
Municipal Water Charge -in South America,Water
Raw Water Intake -,Water
Monthly Water Usage -for Q3 Period,Water
Natural Gas Supply -for Asia Pacific,Heating
Winter Heating Usage -,Heating
Hazardous Waste Disposal -for Asia Pacific,Waste Disposal
Bulk Water Purchase -- R&D Center,Water
Grid Power Purchase -,Electricity
Monthly Water Usage -in Manufacturing Plant,Water
Water Consumption -for Monthey Facility,Water
Transformer Upgrade Project,Other
Medical Waste Collection -,Waste Disposal
Raw Water Intake -- Distribution Center,Water
Employee Salaries - Month End,Other
Winter Heating Usage -,Heating
Hazardous Waste Disposal -for South America,Waste Disposal
Industrial Waste Pickup -- Basel Site,Waste Disposal
Gas Utility Bill -in Global HQ,Heating
Electricity Meter Reading -in Q3 Period,Electricity
Fuel Oil Delivery -,Heating
Winter Heating Usage -,Heating
Fuel Oil Delivery -in Asia Pacific,Heating
Energy Supply Charge -in R&D Center,Electricity
Solid Waste Management Fee -for European Operations,Waste Disposal
Electric Utility Bill -,Electricity
General Waste Collection -for Year-End,Waste Disposal
Electricity Supply -for Basel Site,Electricity
Heating Expense -for South America,Heating
Potable Water Supply -for North America,Water
KWh Consumption -for Asia Pacific,Electricity
Gas Utility Bill -in South America,Heating
Monthly Power Usage -in Q3 Period,Electricity
Heating Fuel Purchase -- Year-End,Heating
Steam Generation Gas -in Year-End,Heating
Chemical Waste Disposal -in Asia Pacific,Waste Disposal
Steam Generation Gas -- Q3 Period,Heating
Steam Generation Gas -- Distribution Center,Heating
Environmental Impact Assessment,Other
Heating Fuel Purchase -- Monthey Facility,Heating
Heating Expense -,Heating
Utility Meter Calibration,Other
Winter Heating Usage -,Heating
Water Consumption -in Global HQ,Water
Temperature Control System Upgrade,Other
Water Supply -,Water
IT System Upgrade - Software Licenses,Other
Propane Supply -in Distribution Center,Heating
Water Consumption -for R&D Center,Water
Natural Gas Supply -- Distribution Center,Heating
Heating Expense -for North America,Heating
Fuel Oil Delivery -,Heating
Heating Expense -in Q3 Period,Heating
Potable Water Supply -for Monthey Facility,Water
Winter Heating Usage -- R&D Center,Heating
Gas Utility Bill -for Q3 Period,Heating
Heating Expense -in Distribution Center,Heating
Water Consumption -in Monthey Facility,Water
Heating Fuel Purchase -- Basel Site,Heating
Solid Waste Management Fee -in Manufacturing Plant,Waste Disposal
Winter Heating Usage -for Q3 Period,Heating
Drainage System Maintenance,Other
Power Consumption -in Manufacturing Plant,Electricity
Heating Fuel Purchase -for R&D Center,Heating
Winter Heating Usage -- Manufacturing Plant,Heating
Potable Water Supply -for Manufacturing Plant,Water
Steam Generation Gas -for North America,Heating
Incinerator Maintenance Fee,Other
Monthly Power Usage -in Year-End,Electricity
Potable Water Supply -- South America,Water
Monthly Water Usage -for Distribution Center,Water
Electricity Supply -for European Operations,Electricity
Fuel Oil Delivery -- Q3 Period,Heating
Fungicide Product Sales - North America,Other
Medical Waste Collection -- Global HQ,Waste Disposal
Municipal Water Charge -for South America,Water
Industrial Waste Pickup -- Basel Site,Waste Disposal
Water Utility Bill -,Water
Raw Water Intake -,Water
Energy Supply Charge -in Global HQ,Electricity
Propane Supply -for Year-End,Heating
Water Consumption -for South America,Water
Heat Exchanger Cleaning,Other
Monthly Water Usage -,Water
Fuel Oil Delivery -for Asia Pacific,Heating
Raw Water Intake -,Water
Hazardous Waste Disposal -for Year-End,Waste Disposal
Propane Supply -,Heating
Hazardous Waste Disposal -in Manufacturing Plant,Waste Disposal
Grid Power Purchase -for North America,Electricity
Water Supply -- North America,Water
Heating Expense -,Heating
Industrial Waste Pickup -,Waste Disposal
Monthly Power Usage -for R&D Center,Electricity
